,Timestamps,Number of Bursts,ISIn,ISIn2,PS,MI,RS,CMA
0,310,17,8,8,6,36,0,8
1,499,28,15,15,6,61,0,12
2,415,26,12,12,3,47,1,13
3,453,26,10,10,6,55,0,14
4,408,22,11,11,8,46,1,9
5,448,24,12,12,9,55,0,12
6,349,20,11,11,7,41,0,15
7,390,23,13,13,3,47,0,14
8,291,16,11,11,5,35,0,9
9,406,24,13,13,9,48,0,10
10,506,27,11,11,6,62,0,15
11,390,24,9,9,5,51,0,10
12,439,22,12,12,0,52,0,10
13,344,19,10,10,4,45,0,13
14,581,32,16,16,9,69,0,24
15,419,22,14,14,11,48,0,12
16,416,24,7,7,2,48,0,12
17,442,25,15,15,7,54,0,10
18,378,21,10,10,6,46,0,14
19,304,18,5,5,0,40,1,12
20,428,24,9,9,11,52,0,10
21,425,23,13,13,7,52,0,14
22,417,24,7,7,6,49,0,12
23,474,27,15,15,3,54,0,14
24,479,26,11,11,11,59,0,13
25,422,25,13,13,4,52,0,12
26,455,24,14,14,8,54,1,4
27,340,18,8,8,0,40,0,10
28,418,23,10,10,9,40,0,7
29,297,18,7,7,3,34,0,11
30,390,22,9,9,7,56,0,16
31,450,25,16,16,0,47,0,11
32,355,22,9,9,4,43,0,10
33,378,20,15,15,10,43,0,11
34,412,24,10,10,5,52,0,13
35,487,27,14,14,4,62,0,9
36,316,18,8,8,1,42,0,11
37,403,22,12,12,7,50,0,15
38,418,23,10,10,6,52,0,14
39,447,24,11,11,9,54,2,9
40,378,20,11,11,7,43,0,13
41,327,20,6,6,4,49,0,12
42,470,26,13,13,6,58,0,17
43,388,20,8,8,9,43,0,13
44,333,18,7,7,2,40,0,10
45,342,20,12,12,2,36,0,12
46,362,21,6,6,6,45,0,12
47,381,21,11,11,5,42,0,15
48,326,17,12,12,8,34,0,8
49,353,22,6,6,4,51,1,15
50,479,27,15,15,7,60,0,13
51,513,28,14,14,7,60,0,14
52,488,27,12,12,3,50,1,9
53,442,26,9,9,5,55,0,10
54,272,15,9,9,6,30,0,4
55,513,28,13,13,5,70,0,10
56,442,24,12,12,10,49,0,9
57,255,14,8,8,0,31,0,10
58,425,23,13,13,8,57,0,13
59,433,23,13,13,9,48,0,13
60,331,19,10,10,7,44,0,9
61,474,26,15,15,7,58,0,8
62,335,18,14,14,6,37,0,9
63,428,23,13,13,8,38,0,12
64,363,21,10,10,5,45,0,11
65,327,20,5,5,5,38,0,11
66,427,23,15,15,6,44,2,9
67,319,19,9,9,6,36,0,12
68,516,28,11,11,10,62,0,13
69,311,16,10,10,6,31,0,7
70,378,23,7,7,1,49,0,13
71,417,23,14,14,7,51,0,9
72,372,21,7,7,0,42,0,12
73,398,22,9,9,11,45,0,14
74,456,26,10,10,8,61,0,11
75,354,18,15,15,7,38,1,11
76,375,20,12,12,8,39,0,5
77,386,22,9,9,10,44,0,20
78,450,24,14,14,7,51,0,12
79,261,15,6,6,3,31,0,9
80,395,22,12,12,5,48,1,15
81,266,16,6,6,5,34,1,8
82,386,21,8,8,3,52,0,6
83,309,18,5,5,2,44,1,10
84,323,20,5,5,5,38,0,10
85,433,24,14,14,7,54,0,9
86,391,24,9,9,3,46,0,12
87,430,25,8,8,6,54,0,19
88,380,20,9,9,8,44,0,10
89,407,23,13,13,8,48,0,14
90,462,27,15,15,7,51,0,24
91,376,20,12,12,1,44,0,13
92,428,23,10,10,8,52,0,12
93,515,30,13,13,10,61,0,25
94,270,15,8,8,8,30,0,6
95,451,24,14,14,4,53,0,16
96,282,16,6,6,4,38,0,10
97,368,20,12,12,6,43,0,11
98,338,20,6,6,6,43,0,9
99,467,27,16,16,7,52,0,15
