,Timestamps,Number of Bursts,ISIn,IRT,MI,CMA,RS,PS
0,2794,279,0.0,0.0,0.0,0.0,0.0,0.0
1,3053,310,0.0,0.0,0.0,0.0,0.0,0.0
2,2948,283,0.0,0.0,0.0,0.0,0.0,0.0
3,3009,302,0.0,0.0,0.0,0.0,0.0,0.0
4,3229,323,0.0,0.0,0.0,0.0,0.0,0.0
5,3181,313,0.0,0.0,0.0,0.0,0.0,0.0
6,2893,293,0.0,0.0,0.0,0.0,0.0,0.0
7,2926,290,0.0,0.0,0.0,0.0,0.0,0.0
8,3035,302,0.0,0.0,0.0,0.0,0.0,0.0
9,3269,318,0.0,0.0,0.0,0.0,0.0,0.0
10,2964,294,0.0,0.0,0.0,0.0,0.0,0.0
11,3144,310,0.0,0.0,0.0,0.0,0.0,0.0
12,3021,304,0.0,0.0,0.0,0.0,0.0,0.0
13,2865,295,0.0,0.0,0.0,0.0,0.0,0.0
14,2840,280,0.0,0.0,0.0,0.0,0.0,0.0
15,3132,314,0.0,0.0,0.0,0.0,0.0,0.0
16,2939,299,0.0,0.0,0.0,0.0,0.0,0.0
17,3155,324,0.0,0.0,0.0,0.0,0.0,0.0
18,2755,277,0.0,0.0,0.0,0.0,0.0,0.0
19,2798,283,0.0,0.0,0.0,0.0,0.0,0.0
20,2880,283,0.0,0.0,0.0,0.0,0.0,0.0
21,3231,324,0.0,0.0,0.0,0.0,0.0,0.0
22,3178,313,0.0,0.0,0.0,0.0,0.0,0.0
23,2990,298,0.0,0.0,0.0,0.0,0.0,0.0
24,2904,286,0.0,0.0,0.0,0.0,0.0,0.0
25,3021,307,0.0,0.0,0.0,0.0,0.0,0.0
26,3073,298,0.0,0.0,0.0,0.0,0.0,0.0
27,3097,302,0.0,0.0,0.0,0.0,0.0,0.0
28,2974,304,0.0,0.0,0.0,0.0,0.0,0.0
29,2922,291,0.0,0.0,0.0,0.0,0.0,0.0
30,2989,294,0.0,0.0,0.0,0.0,0.0,0.0
31,3035,306,0.0,0.0,0.0,0.0,0.0,0.0
32,3032,296,0.0,0.0,0.0,0.0,0.0,0.0
33,2861,285,0.0,0.0,0.0,0.0,0.0,0.0
34,2657,261,0.0,0.0,0.0,0.0,0.0,0.0
35,3042,296,0.0,0.0,0.0,0.0,0.0,0.0
36,2777,279,0.0,0.0,0.0,0.0,0.0,0.0
37,3018,292,0.0,0.0,0.0,0.0,0.0,0.0
38,2905,289,0.0,0.0,0.0,0.0,0.0,0.0
39,2807,284,0.0,0.0,0.0,0.0,0.0,0.0
40,2800,283,0.0,0.0,0.0,0.0,0.0,0.0
41,3205,322,0.0,0.0,0.0,0.0,0.0,0.0
42,3312,329,0.0,0.0,0.0,0.0,0.0,0.0
43,3008,304,0.0,0.0,0.0,0.0,0.0,0.0
44,3038,319,0.0,0.0,0.0,0.0,0.0,0.0
