,Timestamps,Number of Bursts,ISIn,ISIn2,PS,MI,RS,CMA
0,306,0,0,0,0,13,0,19
1,303,0,0,0,0,11,0,14
2,321,0,0,0,1,13,0,10
3,300,0,0,0,0,12,0,14
4,310,0,0,0,0,9,1,17
5,321,0,0,0,0,15,0,20
6,302,0,0,0,0,11,0,14
7,314,0,0,0,0,11,1,16
8,305,0,0,0,0,9,1,17
9,293,0,0,0,0,10,0,14
10,269,0,0,0,0,7,0,16
11,286,0,0,0,0,11,0,8
12,293,0,0,0,0,10,1,20
13,315,0,0,0,0,8,0,19
14,303,0,0,0,0,7,0,17
15,296,0,0,0,0,9,0,18
16,284,0,0,0,0,9,0,17
17,304,0,0,0,0,10,0,16
18,302,0,0,0,0,9,0,21
19,319,0,0,0,0,10,0,22
20,315,0,0,0,0,10,2,18
21,329,0,0,0,0,10,0,23
22,281,0,0,0,0,6,0,17
23,317,0,0,0,0,15,2,16
24,292,0,0,0,0,10,0,12
25,309,0,0,0,0,13,1,15
26,296,0,0,0,0,5,0,16
27,311,0,0,0,0,8,0,13
28,298,0,0,0,0,8,0,20
29,300,0,0,0,0,8,0,16
30,321,0,0,0,0,13,1,21
31,304,0,0,0,0,13,0,20
32,276,0,0,0,0,10,0,12
33,294,0,0,0,0,12,0,16
34,292,0,0,0,0,11,0,21
35,267,0,0,0,0,7,0,16
36,317,0,0,0,1,11,1,14
37,284,0,0,0,0,9,0,17
38,304,0,0,0,0,12,1,14
39,308,0,0,0,0,9,0,15
40,320,0,0,0,0,13,0,21
41,325,0,0,0,0,12,1,25
42,300,0,0,0,0,9,1,19
43,308,0,0,0,0,15,1,17
44,274,0,0,0,0,6,0,17
45,302,0,0,0,1,10,1,21
46,287,0,0,0,0,8,0,14
47,292,0,0,0,0,7,0,14
48,286,0,0,0,1,11,0,20
49,300,0,0,0,0,14,0,10
50,298,0,0,0,0,11,0,18
51,281,0,0,0,0,7,0,15
52,312,0,0,0,0,10,0,17
53,311,0,0,0,0,6,0,18
54,311,0,0,0,0,13,0,17
55,336,0,0,0,0,10,1,15
56,304,0,0,0,0,8,0,17
57,303,0,0,0,0,11,0,15
58,308,0,0,0,0,10,0,16
59,306,0,0,0,0,14,0,18
60,259,0,0,0,0,5,0,14
61,287,0,0,0,0,8,0,16
62,296,0,0,0,0,7,1,14
63,304,0,0,0,0,13,1,14
64,303,0,0,0,0,9,1,17
65,277,0,0,0,0,4,0,14
66,298,0,0,0,0,9,1,14
67,305,0,0,0,0,15,0,21
68,304,0,0,0,0,8,0,17
69,280,0,0,0,0,11,0,16
70,325,0,0,0,0,11,1,18
71,290,0,0,0,0,12,0,17
72,300,0,0,0,0,6,0,18
73,287,0,0,0,0,12,0,11
74,306,0,0,0,0,12,0,10
75,282,0,0,0,0,8,0,16
76,300,0,0,0,0,16,0,17
77,308,0,0,0,0,11,1,15
78,304,0,0,0,0,6,0,21
79,313,0,0,0,0,10,0,20
80,293,0,0,0,0,11,0,11
81,308,0,0,0,0,7,0,17
82,330,0,0,0,0,16,0,18
83,295,0,0,0,0,11,0,20
84,278,0,0,0,0,5,0,22
85,256,0,0,0,0,5,0,16
86,276,0,0,0,0,11,0,9
87,308,0,0,0,0,11,0,17
88,303,0,0,0,0,14,1,12
89,292,0,0,0,0,10,1,20
90,302,0,0,0,0,13,0,14
91,293,0,0,0,0,8,0,14
92,315,0,0,0,0,10,0,21
93,277,0,0,0,0,6,0,20
94,301,0,0,0,0,9,0,17
95,296,0,0,0,0,10,0,18
96,304,0,0,0,0,18,0,16
97,288,0,0,0,0,6,0,21
98,296,0,0,0,0,13,0,17
99,253,0,0,0,0,6,0,15
