,Timestamps,Number of Bursts,ISIn,ISIn2,PS,MI,RS,CMA
0,134,0,0,0,0,0,0,5
1,149,0,0,0,0,1,0,7
2,144,0,0,0,0,0,0,3
3,109,0,0,0,0,0,0,6
4,151,0,0,0,0,0,2,8
5,146,0,0,0,0,1,1,8
6,149,0,0,0,0,0,2,7
7,129,0,0,0,0,1,0,2
8,146,0,0,0,0,0,0,6
9,129,0,0,0,0,0,0,6
10,131,0,0,0,0,0,1,7
11,128,0,0,0,0,0,0,5
12,140,0,0,0,0,1,0,5
13,134,0,0,0,0,0,0,6
14,154,0,0,0,0,1,1,3
15,137,0,0,0,0,0,1,7
16,144,0,0,0,0,0,0,6
17,117,0,0,0,0,0,1,8
18,132,0,0,0,0,0,1,5
19,123,0,0,0,0,0,0,4
20,119,0,0,0,0,0,0,5
21,120,0,0,0,0,0,0,7
22,125,0,0,0,0,0,1,6
23,115,0,0,0,0,0,1,5
24,131,0,0,0,0,0,1,4
25,155,0,0,0,0,2,1,5
26,139,0,0,0,0,1,0,5
27,142,0,0,0,0,0,0,5
28,124,0,0,0,0,0,0,5
29,109,0,0,0,0,0,1,6
30,127,0,0,0,0,0,1,5
31,137,0,0,0,0,0,0,3
32,109,0,0,0,0,0,1,4
33,140,0,0,0,0,0,1,7
34,141,0,0,0,0,0,0,11
35,144,0,0,0,0,2,0,6
36,126,0,0,0,0,0,1,6
37,125,0,0,0,0,0,1,4
38,136,0,0,0,0,0,0,6
39,123,0,0,0,0,1,0,6
40,119,0,0,0,0,0,0,8
41,142,0,0,0,0,0,0,6
42,148,0,0,0,0,1,0,6
43,136,0,0,0,0,0,1,5
44,149,0,0,0,0,0,0,5
45,132,0,0,0,0,0,1,6
46,141,0,0,0,0,0,1,8
47,136,0,0,0,0,0,0,4
48,128,0,0,0,0,0,1,4
49,135,0,0,0,0,0,0,4
50,138,0,0,0,0,1,0,5
51,138,0,0,0,0,0,0,5
52,146,0,0,0,0,0,0,8
53,140,0,0,0,0,0,1,7
54,113,0,0,0,0,0,1,5
55,129,0,0,0,0,0,0,7
56,132,0,0,0,0,0,0,7
57,123,0,0,0,0,0,1,5
58,135,0,0,0,0,1,0,7
59,142,0,0,0,0,0,1,4
60,145,0,0,0,0,0,0,7
61,137,0,0,0,0,0,0,6
62,146,0,0,0,0,0,0,5
63,136,0,0,0,0,0,0,6
64,130,0,0,0,0,0,1,5
65,143,0,0,0,0,0,1,6
66,148,0,0,0,0,0,0,7
67,146,0,0,0,0,0,0,8
68,141,0,0,0,0,2,0,4
69,137,0,0,0,0,0,0,6
70,139,0,0,0,0,0,0,2
71,122,0,0,0,0,0,2,4
72,136,0,0,0,0,0,0,6
73,145,0,0,0,0,0,1,5
74,125,0,0,0,0,0,0,5
75,137,0,0,0,0,0,2,5
76,147,0,0,0,0,0,1,6
77,142,0,0,0,0,0,0,6
78,144,0,0,0,0,0,0,6
79,120,0,0,0,0,0,0,4
80,125,0,0,0,0,0,0,4
81,128,0,0,0,0,0,0,5
82,146,0,0,0,0,0,0,8
83,145,0,0,0,0,0,2,6
84,139,0,0,0,0,0,0,4
85,144,0,0,0,0,1,1,6
86,142,0,0,0,0,0,0,6
87,118,0,0,0,0,0,0,4
88,120,0,0,0,0,0,1,10
89,140,0,0,0,0,0,0,4
90,146,0,0,0,0,0,1,5
91,121,0,0,0,0,0,1,5
92,133,0,0,0,0,0,0,7
93,138,0,0,0,0,0,0,4
94,117,0,0,0,0,0,0,5
95,126,0,0,0,0,0,1,4
96,146,0,0,0,0,0,0,3
97,148,0,0,0,0,0,0,6
98,137,0,0,0,0,0,0,10
99,134,0,0,0,0,0,0,5
