,Timestamps,Number of Bursts,ISIn,IRT,MI,CMA,RS,PS
0,128,0,0,0,0,0,0,0
1,127,0,0,0,0,0,0,0
2,128,0,0,0,0,0,0,0
3,120,0,0,0,0,0,0,0
4,132,0,0,0,0,0,0,0
5,146,0,0,0,0,0,0,0
6,128,0,0,0,0,0,0,0
7,122,0,0,0,0,0,0,0
8,138,0,0,0,0,0,0,0
9,110,0,0,0,0,0,0,0
10,121,0,0,0,0,0,0,0
11,147,0,0,0,0,0,0,0
12,131,0,0,0,0,0,0,0
13,137,0,0,0,0,0,0,0
14,121,0,0,0,0,0,0,0
15,132,0,0,0,0,0,0,0
16,133,0,0,0,0,0,0,0
17,138,0,0,0,0,0,0,0
18,127,0,0,0,0,0,0,0
19,128,0,0,0,0,0,0,0
20,124,0,0,0,0,0,0,0
21,128,0,0,0,0,0,0,0
22,130,0,0,0,0,0,0,0
23,137,0,0,0,0,0,0,0
24,143,0,0,0,0,0,0,0
25,119,0,0,0,0,0,0,0
26,123,0,0,0,0,0,0,0
27,147,0,0,0,0,0,0,0
28,128,0,0,0,0,0,0,0
29,141,0,0,0,0,0,0,0
30,145,0,0,0,0,0,0,0
31,118,0,0,0,0,0,0,0
32,141,0,0,0,0,0,0,0
33,134,0,0,0,0,0,0,0
34,146,0,0,0,0,0,0,0
35,115,0,0,0,0,0,0,0
36,128,0,0,0,0,0,0,0
37,127,0,0,0,0,0,0,0
38,132,0,0,0,0,0,0,0
39,119,0,0,0,0,0,0,0
40,140,0,0,0,0,0,0,0
41,132,0,0,0,0,0,0,0
42,141,0,0,0,0,0,0,0
43,144,0,0,0,0,0,0,0
44,144,0,0,0,0,0,0,0
45,136,0,0,0,0,0,0,0
46,105,0,0,0,0,0,0,0
47,142,0,0,0,0,0,0,0
48,140,0,0,0,0,0,0,0
49,145,0,0,0,0,0,0,0
50,142,0,0,0,0,0,0,0
51,149,0,0,0,0,0,0,0
52,136,0,0,0,0,0,0,0
53,145,0,0,0,0,0,0,0
54,131,0,0,0,0,0,0,0
55,133,0,0,0,0,0,0,0
56,139,0,0,0,0,0,0,0
57,123,0,0,0,0,0,0,0
58,147,0,0,0,0,0,0,0
59,137,0,0,0,0,0,0,0
60,132,0,0,0,0,0,0,0
61,141,0,0,0,0,0,0,0
62,136,0,0,0,0,0,0,0
63,152,0,0,0,0,0,0,0
64,115,0,0,0,0,0,0,0
65,125,0,0,0,0,0,0,0
66,154,0,0,0,0,0,0,0
67,120,0,0,0,0,0,0,0
68,130,0,0,0,0,0,0,0
69,152,0,0,0,0,0,0,0
70,122,0,0,0,0,0,0,0
71,117,0,0,0,0,0,0,0
72,144,0,0,0,0,0,0,0
73,150,0,0,0,0,0,0,0
74,137,0,0,0,0,0,0,0
75,133,0,0,0,0,0,0,0
76,134,0,0,0,0,0,0,0
77,145,0,0,0,0,0,0,0
78,147,0,0,0,0,0,0,0
79,119,0,0,0,0,0,0,0
80,117,0,0,0,0,0,0,0
81,112,0,0,0,0,0,0,0
82,142,0,0,0,0,0,0,0
83,154,0,0,0,0,0,0,0
84,122,0,0,0,0,0,0,0
85,133,0,0,0,0,0,0,0
86,137,0,0,0,0,0,0,0
87,160,0,0,0,0,0,0,0
88,155,0,0,0,0,0,0,0
89,134,0,0,0,0,0,0,0
90,134,0,0,0,0,0,0,0
91,147,0,0,0,0,0,0,0
92,137,0,0,0,0,0,0,0
93,134,0,0,0,0,0,0,0
94,130,0,0,0,0,0,0,0
95,129,0,0,0,0,0,0,0
96,165,0,0,0,0,0,0,0
97,132,0,0,0,0,0,0,0
98,137,0,0,0,0,0,0,0
99,150,0,0,0,0,0,0,0
