,Timestamps,Number of Bursts,ISIn,ISIn2,PS,MI,RS,CMA
0,888,98,43,43,1,100,1,84
1,724,77,30,30,1,79,0,65
2,810,91,29,29,1,91,1,78
3,764,90,22,22,1,91,1,77
4,821,100,28,28,0,97,0,82
5,759,87,24,24,1,87,1,69
6,780,91,21,21,1,93,0,70
7,838,92,37,37,0,93,0,77
8,785,89,26,26,1,89,0,75
9,761,83,29,29,1,89,0,67
10,728,92,20,20,0,94,0,70
11,802,94,30,30,1,94,0,75
12,680,76,21,21,0,79,1,67
13,753,82,26,26,1,82,1,64
14,791,87,26,26,2,80,1,68
15,682,79,23,23,1,78,1,67
16,814,95,22,22,0,96,1,78
17,754,89,25,25,0,86,0,73
18,830,95,27,27,1,92,0,76
19,721,86,23,23,1,86,1,68
20,737,83,21,21,1,85,0,68
21,723,85,22,22,1,88,1,72
22,716,82,24,24,1,80,1,65
23,734,81,25,25,1,84,1,65
24,729,81,26,26,2,77,0,62
25,709,83,18,18,1,82,0,62
26,761,85,26,26,0,85,0,69
27,792,84,32,32,1,85,1,74
28,809,90,30,30,1,88,0,73
29,750,84,26,26,2,80,0,62
30,749,89,27,27,1,89,1,73
31,740,82,26,26,2,78,0,67
32,764,82,28,28,1,83,1,66
33,696,86,21,21,0,78,0,72
34,683,81,18,18,0,80,1,69
35,655,74,22,22,1,68,0,58
36,728,88,18,18,0,88,0,73
37,805,91,26,26,1,91,1,75
38,866,97,33,33,2,98,0,73
39,755,88,20,20,1,89,0,68
40,704,78,27,27,1,80,0,63
41,731,77,25,25,0,79,0,62
42,720,82,25,25,1,83,1,70
43,698,77,23,23,2,80,0,64
44,824,87,36,36,1,88,0,75
45,735,79,28,28,0,79,1,64
46,741,85,26,26,1,82,1,67
47,685,79,19,19,1,78,0,67
48,729,80,24,24,1,81,1,15
49,731,86,19,19,0,85,1,70
50,754,82,30,30,1,81,0,68
51,762,87,24,24,1,85,0,69
52,808,94,27,27,1,89,0,81
53,775,87,28,28,1,88,0,70
54,672,75,22,22,1,74,0,64
55,735,84,18,18,1,88,1,72
56,848,93,33,33,3,93,1,75
57,815,90,29,29,1,94,0,67
58,795,90,27,27,1,90,0,73
59,787,86,31,31,1,89,0,74
60,764,90,20,20,1,90,0,76
61,800,89,29,29,3,92,0,72
62,767,89,24,24,0,93,1,75
63,710,84,19,19,0,85,0,74
64,747,83,25,25,2,85,0,68
65,758,86,25,25,0,84,0,70
66,710,80,21,21,0,82,1,65
67,802,92,27,27,1,90,0,71
68,777,93,20,20,1,87,1,79
69,748,86,22,22,0,87,0,73
70,778,84,27,27,3,85,1,68
71,783,85,31,31,1,86,0,71
72,710,82,17,17,1,84,1,71
73,704,78,26,26,1,78,1,68
74,705,84,21,21,1,83,1,68
75,797,90,31,31,2,94,1,76
76,737,83,29,29,1,85,0,68
77,774,81,31,31,0,80,0,68
78,788,88,29,29,1,89,0,76
79,685,81,18,18,1,76,1,67
80,694,79,22,22,1,77,0,66
81,757,84,27,27,1,81,0,71
82,780,88,26,26,2,90,0,72
83,825,91,31,31,2,92,1,71
84,721,82,28,28,0,83,0,72
85,722,84,16,16,1,86,0,70
86,791,88,30,30,1,88,0,72
87,753,89,25,25,0,84,0,66
88,667,78,20,20,1,77,0,63
89,766,91,25,25,0,88,1,70
90,769,82,31,31,1,78,0,70
91,790,91,27,27,2,91,0,75
92,712,83,17,17,1,85,0,71
93,663,82,14,14,1,73,0,66
94,775,81,31,31,0,81,0,67
95,759,85,26,26,2,91,0,13
96,724,88,19,19,1,89,1,74
97,731,89,22,22,1,86,1,71
98,806,91,29,29,0,94,0,81
99,854,96,29,29,1,97,0,84
