,Timestamps,Number of Bursts,ISIn,ISIn2,PS,MI,RS,CMA
0,282,49,1,1,0,47,0,22
1,272,47,3,3,0,46,0,14
2,264,48,1,1,1,47,0,15
3,235,45,5,5,0,44,0,16
4,256,45,3,3,1,44,0,23
5,285,51,5,5,0,49,2,24
6,266,50,3,3,0,46,0,17
7,259,46,1,1,0,45,0,21
8,298,54,4,4,0,53,0,29
9,218,41,2,2,1,39,0,17
10,253,45,3,3,1,44,0,15
11,257,49,2,2,1,48,0,18
12,313,54,3,3,1,52,0,23
13,297,55,3,3,1,53,0,28
14,258,47,2,2,0,45,1,15
15,261,45,2,2,1,43,0,16
16,267,49,1,1,0,47,0,23
17,285,53,3,3,0,52,0,26
18,266,49,4,4,0,47,0,18
19,223,42,2,2,1,40,0,16
20,245,44,2,2,1,43,0,22
21,258,48,4,4,1,46,0,16
22,223,41,3,3,0,38,1,19
23,306,50,4,4,0,48,1,19
24,261,47,3,3,1,45,1,19
25,272,46,2,2,1,44,0,12
26,254,47,1,1,0,45,0,18
27,298,56,3,3,0,54,1,23
28,274,53,1,1,0,52,0,13
29,289,55,3,3,0,54,0,19
30,278,50,4,4,1,49,0,16
31,203,39,3,3,1,36,0,14
32,293,52,3,3,0,51,0,27
33,249,47,2,2,0,46,0,18
34,234,46,3,3,0,45,1,16
35,242,46,1,1,0,45,0,18
36,276,47,4,4,1,46,1,11
37,231,42,3,3,0,41,0,19
38,280,51,4,4,1,50,0,16
39,193,39,2,2,1,38,0,15
40,275,50,4,4,0,49,0,10
41,241,47,1,1,0,45,0,20
42,253,44,2,2,0,42,0,18
43,237,43,2,2,1,42,0,16
44,284,58,0,0,0,57,0,27
45,343,63,3,3,1,62,0,28
46,257,47,2,2,0,45,0,23
47,211,38,4,4,0,37,0,9
48,241,42,4,4,1,41,0,22
49,264,47,2,2,0,46,0,16
50,310,55,5,5,0,53,0,20
51,225,39,3,3,0,38,0,21
52,261,44,3,3,1,43,0,20
53,263,49,3,3,0,48,0,15
54,236,43,1,1,1,42,0,18
55,318,57,4,4,0,54,0,23
56,190,36,3,3,0,35,0,14
57,239,48,1,1,0,46,0,13
58,339,63,3,3,1,61,0,22
59,306,56,2,2,0,55,0,25
60,263,43,5,5,0,41,0,20
61,253,50,1,1,0,48,0,24
62,273,51,3,3,0,49,0,24
63,235,38,4,4,2,37,0,16
64,248,46,2,2,1,45,0,15
65,316,54,5,5,0,52,0,18
66,210,40,5,5,0,39,0,12
67,246,43,2,2,0,41,0,20
68,258,49,3,3,0,47,0,23
69,260,48,1,1,0,47,0,21
70,258,49,3,3,0,48,0,14
71,264,49,4,4,1,46,0,15
72,239,46,2,2,0,44,0,18
73,249,45,1,1,1,44,0,19
74,269,50,4,4,0,49,1,17
75,290,49,2,2,0,48,1,17
76,183,32,2,2,1,30,0,12
77,275,48,1,1,0,47,0,18
78,319,56,8,8,0,55,0,21
79,234,43,3,3,0,40,0,16
80,245,47,4,4,0,45,0,15
81,296,51,6,6,1,50,0,19
82,167,29,1,1,0,28,0,10
83,348,61,6,6,0,60,0,28
84,273,53,2,2,0,52,0,18
85,291,50,5,5,0,49,0,22
86,258,47,3,3,0,46,1,17
87,237,42,4,4,0,40,0,18
88,270,48,4,4,0,47,0,7
89,311,58,1,1,1,57,0,17
90,213,41,3,3,1,39,0,9
91,221,38,2,2,0,37,0,18
92,261,49,0,0,1,47,0,25
93,190,36,2,2,0,35,0,14
94,212,39,1,1,1,36,0,13
95,213,38,1,1,1,37,0,16
96,290,53,3,3,0,51,0,27
97,239,44,1,1,0,43,1,12
98,190,35,3,3,1,34,0,13
99,275,47,5,5,0,44,1,22
