,Timestamps,Number of Bursts,ISIn,IRT,MI,CMA,RS,PS
0,282,49,0.0,0.0,0.0,0.0,0.0,0.0
1,272,47,0.0,0.0,0.0,0.0,0.0,0.0
2,264,48,0.0,0.0,0.0,0.0,0.0,0.0
3,235,45,0.0,0.0,0.0,0.0,0.0,0.0
4,256,45,0.0,0.0,0.0,0.0,0.0,0.0
5,285,51,0.0,0.0,0.0,0.0,0.0,0.0
6,266,50,0.0,0.0,0.0,0.0,0.0,0.0
7,259,46,0.0,0.0,0.0,0.0,0.0,0.0
8,298,54,0.0,0.0,0.0,0.0,0.0,0.0
9,218,41,0.0,0.0,0.0,0.0,0.0,0.0
10,253,45,0.0,0.0,0.0,0.0,0.0,0.0
11,257,49,0.0,0.0,0.0,0.0,0.0,0.0
12,313,54,0.0,0.0,0.0,0.0,0.0,0.0
13,297,55,0.0,0.0,0.0,0.0,0.0,0.0
14,258,47,0.0,0.0,0.0,0.0,0.0,0.0
15,261,45,0.0,0.0,0.0,0.0,0.0,0.0
16,267,49,0.0,0.0,0.0,0.0,0.0,0.0
17,285,53,0.0,0.0,0.0,0.0,0.0,0.0
18,266,49,0.0,0.0,0.0,0.0,0.0,0.0
19,223,42,0.0,0.0,0.0,0.0,0.0,0.0
20,245,44,0.0,0.0,0.0,0.0,0.0,0.0
21,258,48,0.0,0.0,0.0,0.0,0.0,0.0
22,223,41,0.0,0.0,0.0,0.0,0.0,0.0
23,306,50,0.0,0.0,0.0,0.0,0.0,0.0
24,261,47,0.0,0.0,0.0,0.0,0.0,0.0
25,272,46,0.0,0.0,0.0,0.0,0.0,0.0
26,254,47,0.0,0.0,0.0,0.0,0.0,0.0
27,298,56,0.0,0.0,0.0,0.0,0.0,0.0
28,274,53,0.0,0.0,0.0,0.0,0.0,0.0
29,289,55,0.0,0.0,0.0,0.0,0.0,0.0
30,278,50,0.0,0.0,0.0,0.0,0.0,0.0
31,203,39,0.0,0.0,0.0,0.0,0.0,0.0
32,293,52,0.0,0.0,0.0,0.0,0.0,0.0
33,249,47,0.0,0.0,0.0,0.0,0.0,0.0
34,234,46,0.0,0.0,0.0,0.0,0.0,0.0
35,242,46,0.0,0.0,0.0,0.0,0.0,0.0
36,276,47,0.0,0.0,0.0,0.0,0.0,0.0
37,231,42,0.0,0.0,0.0,0.0,0.0,0.0
38,280,51,0.0,0.0,0.0,0.0,0.0,0.0
39,193,39,0.0,0.0,0.0,0.0,0.0,0.0
40,275,50,0.0,0.0,0.0,0.0,0.0,0.0
41,241,47,0.0,0.0,0.0,0.0,0.0,0.0
42,253,44,0.0,0.0,0.0,0.0,0.0,0.0
43,237,43,0.0,0.0,0.0,0.0,0.0,0.0
44,284,58,0.0,0.0,0.0,0.0,0.0,0.0
45,343,63,0.0,0.0,0.0,0.0,0.0,0.0
46,257,47,0.0,0.0,0.0,0.0,0.0,0.0
47,211,38,0.0,0.0,0.0,0.0,0.0,0.0
48,241,42,0.0,0.0,0.0,0.0,0.0,0.0
49,264,47,0.0,0.0,0.0,0.0,0.0,0.0
50,310,55,0.0,0.0,0.0,0.0,0.0,0.0
51,225,39,0.0,0.0,0.0,0.0,0.0,0.0
52,261,44,0.0,0.0,0.0,0.0,0.0,0.0
53,263,49,0.0,0.0,0.0,0.0,0.0,0.0
54,236,43,0.0,0.0,0.0,0.0,0.0,0.0
55,318,57,0.0,0.0,0.0,0.0,0.0,0.0
56,190,36,0.0,0.0,0.0,0.0,0.0,0.0
57,239,48,0.0,0.0,0.0,0.0,0.0,0.0
58,339,63,0.0,0.0,0.0,0.0,0.0,0.0
59,306,56,0.0,0.0,0.0,0.0,0.0,0.0
60,263,43,0.0,0.0,0.0,0.0,0.0,0.0
61,253,50,0.0,0.0,0.0,0.0,0.0,0.0
62,273,51,0.0,0.0,0.0,0.0,0.0,0.0
63,235,38,0.0,0.0,0.0,0.0,0.0,0.0
64,248,46,0.0,0.0,0.0,0.0,0.0,0.0
65,316,54,0.0,0.0,0.0,0.0,0.0,0.0
66,210,40,0.0,0.0,0.0,0.0,0.0,0.0
67,246,43,0.0,0.0,0.0,0.0,0.0,0.0
68,258,49,0.0,0.0,0.0,0.0,0.0,0.0
69,260,48,0.0,0.0,0.0,0.0,0.0,0.0
70,258,49,0.0,0.0,0.0,0.0,0.0,0.0
71,264,49,0.0,0.0,0.0,0.0,0.0,0.0
72,239,46,0.0,0.0,0.0,0.0,0.0,0.0
73,249,45,0.0,0.0,0.0,0.0,0.0,0.0
74,269,50,0.0,0.0,0.0,0.0,0.0,0.0
75,290,49,0.0,0.0,0.0,0.0,0.0,0.0
76,183,32,0.0,0.0,0.0,0.0,0.0,0.0
77,275,48,0.0,0.0,0.0,0.0,0.0,0.0
78,319,56,0.0,0.0,0.0,0.0,0.0,0.0
79,234,43,0.0,0.0,0.0,0.0,0.0,0.0
80,245,47,0.0,0.0,0.0,0.0,0.0,0.0
81,296,51,0.0,0.0,0.0,0.0,0.0,0.0
82,167,29,0.0,0.0,0.0,0.0,0.0,0.0
83,348,61,0.0,0.0,0.0,0.0,0.0,0.0
84,273,53,0.0,0.0,0.0,0.0,0.0,0.0
85,291,50,0.0,0.0,0.0,0.0,0.0,0.0
86,258,47,0.0,0.0,0.0,0.0,0.0,0.0
87,237,42,0.0,0.0,0.0,0.0,0.0,0.0
88,270,48,0.0,0.0,0.0,0.0,0.0,0.0
89,311,58,0.0,0.0,0.0,0.0,0.0,0.0
90,213,41,0.0,0.0,0.0,0.0,0.0,0.0
91,221,38,0.0,0.0,0.0,0.0,0.0,0.0
92,261,49,0.0,0.0,0.0,0.0,0.0,0.0
93,190,36,0.0,0.0,0.0,0.0,0.0,0.0
94,212,39,0.0,0.0,0.0,0.0,0.0,0.0
95,213,38,0.0,0.0,0.0,0.0,0.0,0.0
96,290,53,0.0,0.0,0.0,0.0,0.0,0.0
97,239,44,0.0,0.0,0.0,0.0,0.0,0.0
98,190,35,0.0,0.0,0.0,0.0,0.0,0.0
99,275,47,0.0,0.0,0.0,0.0,0.0,0.0
