,Timestamps,Number of Bursts,ISIn,IRT,MI,CMA,RS,PS
0,310,17,0.0,0.0,0.0,0.0,0.0,0.0
1,499,28,0.0,0.0,0.0,0.0,0.0,0.0
2,415,26,0.0,0.0,0.0,0.0,0.0,0.0
3,453,26,0.0,0.0,0.0,0.0,0.0,0.0
4,408,22,0.0,0.0,0.0,0.0,0.0,0.0
5,448,24,0.0,0.0,0.0,0.0,0.0,0.0
6,349,20,0.0,0.0,0.0,0.0,0.0,0.0
7,390,23,0.0,0.0,0.0,0.0,0.0,0.0
8,291,16,0.0,0.0,0.0,0.0,0.0,0.0
9,406,24,0.0,0.0,0.0,0.0,0.0,0.0
10,506,27,0.0,0.0,0.0,0.0,0.0,0.0
11,390,24,0.0,0.0,0.0,0.0,0.0,0.0
12,439,22,0.0,0.0,0.0,0.0,0.0,0.0
13,344,19,0.0,0.0,0.0,0.0,0.0,0.0
14,581,32,0.0,0.0,0.0,0.0,0.0,0.0
15,419,22,0.0,0.0,0.0,0.0,0.0,0.0
16,416,24,0.0,0.0,0.0,0.0,0.0,0.0
17,442,25,0.0,0.0,0.0,0.0,0.0,0.0
18,378,21,0.0,0.0,0.0,0.0,0.0,0.0
19,304,18,0.0,0.0,0.0,0.0,0.0,0.0
20,428,24,0.0,0.0,0.0,0.0,0.0,0.0
21,425,23,0.0,0.0,0.0,0.0,0.0,0.0
22,417,24,0.0,0.0,0.0,0.0,0.0,0.0
23,474,27,0.0,0.0,0.0,0.0,0.0,0.0
24,479,26,0.0,0.0,0.0,0.0,0.0,0.0
25,422,25,0.0,0.0,0.0,0.0,0.0,0.0
26,455,24,0.0,0.0,0.0,0.0,0.0,0.0
27,340,18,0.0,0.0,0.0,0.0,0.0,0.0
28,418,23,0.0,0.0,0.0,0.0,0.0,0.0
29,297,18,0.0,0.0,0.0,0.0,0.0,0.0
30,390,22,0.0,0.0,0.0,0.0,0.0,0.0
31,450,25,0.0,0.0,0.0,0.0,0.0,0.0
32,355,22,0.0,0.0,0.0,0.0,0.0,0.0
33,378,20,0.0,0.0,0.0,0.0,0.0,0.0
34,412,24,0.0,0.0,0.0,0.0,0.0,0.0
35,487,27,0.0,0.0,0.0,0.0,0.0,0.0
36,316,18,0.0,0.0,0.0,0.0,0.0,0.0
37,403,22,0.0,0.0,0.0,0.0,0.0,0.0
38,418,23,0.0,0.0,0.0,0.0,0.0,0.0
39,447,24,0.0,0.0,0.0,0.0,0.0,0.0
40,378,20,0.0,0.0,0.0,0.0,0.0,0.0
41,327,20,0.0,0.0,0.0,0.0,0.0,0.0
42,470,26,0.0,0.0,0.0,0.0,0.0,0.0
43,388,20,0.0,0.0,0.0,0.0,0.0,0.0
44,333,18,0.0,0.0,0.0,0.0,0.0,0.0
45,342,20,0.0,0.0,0.0,0.0,0.0,0.0
46,362,21,0.0,0.0,0.0,0.0,0.0,0.0
47,381,21,0.0,0.0,0.0,0.0,0.0,0.0
48,326,17,0.0,0.0,0.0,0.0,0.0,0.0
49,353,22,0.0,0.0,0.0,0.0,0.0,0.0
50,479,27,0.0,0.0,0.0,0.0,0.0,0.0
51,513,28,0.0,0.0,0.0,0.0,0.0,0.0
52,488,27,0.0,0.0,0.0,0.0,0.0,0.0
53,442,26,0.0,0.0,0.0,0.0,0.0,0.0
54,272,15,0.0,0.0,0.0,0.0,0.0,0.0
55,513,28,0.0,0.0,0.0,0.0,0.0,0.0
56,442,24,0.0,0.0,0.0,0.0,0.0,0.0
57,255,14,0.0,0.0,0.0,0.0,0.0,0.0
58,425,23,0.0,0.0,0.0,0.0,0.0,0.0
59,433,23,0.0,0.0,0.0,0.0,0.0,0.0
60,331,19,0.0,0.0,0.0,0.0,0.0,0.0
61,474,26,0.0,0.0,0.0,0.0,0.0,0.0
62,335,18,0.0,0.0,0.0,0.0,0.0,0.0
63,428,23,0.0,0.0,0.0,0.0,0.0,0.0
64,363,21,0.0,0.0,0.0,0.0,0.0,0.0
65,327,20,0.0,0.0,0.0,0.0,0.0,0.0
66,427,23,0.0,0.0,0.0,0.0,0.0,0.0
67,319,19,0.0,0.0,0.0,0.0,0.0,0.0
68,516,28,0.0,0.0,0.0,0.0,0.0,0.0
69,311,16,0.0,0.0,0.0,0.0,0.0,0.0
70,378,23,0.0,0.0,0.0,0.0,0.0,0.0
71,417,23,0.0,0.0,0.0,0.0,0.0,0.0
72,372,21,0.0,0.0,0.0,0.0,0.0,0.0
73,398,22,0.0,0.0,0.0,0.0,0.0,0.0
74,456,26,0.0,0.0,0.0,0.0,0.0,0.0
75,354,18,0.0,0.0,0.0,0.0,0.0,0.0
76,375,20,0.0,0.0,0.0,0.0,0.0,0.0
77,386,22,0.0,0.0,0.0,0.0,0.0,0.0
78,450,24,0.0,0.0,0.0,0.0,0.0,0.0
79,261,15,0.0,0.0,0.0,0.0,0.0,0.0
80,395,22,0.0,0.0,0.0,0.0,0.0,0.0
81,266,16,0.0,0.0,0.0,0.0,0.0,0.0
82,386,21,0.0,0.0,0.0,0.0,0.0,0.0
83,309,18,0.0,0.0,0.0,0.0,0.0,0.0
84,323,20,0.0,0.0,0.0,0.0,0.0,0.0
85,433,24,0.0,0.0,0.0,0.0,0.0,0.0
86,391,24,0.0,0.0,0.0,0.0,0.0,0.0
87,430,25,0.0,0.0,0.0,0.0,0.0,0.0
88,380,20,0.0,0.0,0.0,0.0,0.0,0.0
89,407,23,0.0,0.0,0.0,0.0,0.0,0.0
90,462,27,0.0,0.0,0.0,0.0,0.0,0.0
91,376,20,0.0,0.0,0.0,0.0,0.0,0.0
92,428,23,0.0,0.0,0.0,0.0,0.0,0.0
93,515,30,0.0,0.0,0.0,0.0,0.0,0.0
94,270,15,0.0,0.0,0.0,0.0,0.0,0.0
95,451,24,0.0,0.0,0.0,0.0,0.0,0.0
96,282,16,0.0,0.0,0.0,0.0,0.0,0.0
97,368,20,0.0,0.0,0.0,0.0,0.0,0.0
98,338,20,0.0,0.0,0.0,0.0,0.0,0.0
99,467,27,0.0,0.0,0.0,0.0,0.0,0.0
