,Timestamps,Number of Bursts,ISIn,IRT,MI,CMA,RS,PS
0,306,0,0,0,0,0,0,0
1,303,0,0,0,0,0,0,0
2,321,0,0,0,0,0,0,0
3,300,0,0,0,0,0,0,0
4,310,0,0,0,0,0,0,0
5,321,0,0,0,0,0,0,0
6,302,0,0,0,0,0,0,0
7,314,0,0,0,0,0,0,0
8,305,0,0,0,0,0,0,0
9,293,0,0,0,0,0,0,0
10,269,0,0,0,0,0,0,0
11,286,0,0,0,0,0,0,0
12,293,0,0,0,0,0,0,0
13,315,0,0,0,0,0,0,0
14,303,0,0,0,0,0,0,0
15,296,0,0,0,0,0,0,0
16,284,0,0,0,0,0,0,0
17,304,0,0,0,0,0,0,0
18,302,0,0,0,0,0,0,0
19,319,0,0,0,0,0,0,0
20,315,0,0,0,0,0,0,0
21,329,0,0,0,0,0,0,0
22,281,0,0,0,0,0,0,0
23,317,0,0,0,0,0,0,0
24,292,0,0,0,0,0,0,0
25,309,0,0,0,0,0,0,0
26,296,0,0,0,0,0,0,0
27,311,0,0,0,0,0,0,0
28,298,0,0,0,0,0,0,0
29,300,0,0,0,0,0,0,0
30,321,0,0,0,0,0,0,0
31,304,0,0,0,0,0,0,0
32,276,0,0,0,0,0,0,0
33,294,0,0,0,0,0,0,0
34,292,0,0,0,0,0,0,0
35,267,0,0,0,0,0,0,0
36,317,0,0,0,0,0,0,0
37,284,0,0,0,0,0,0,0
38,304,0,0,0,0,0,0,0
39,308,0,0,0,0,0,0,0
40,320,0,0,0,0,0,0,0
41,325,0,0,0,0,0,0,0
42,300,0,0,0,0,0,0,0
43,308,0,0,0,0,0,0,0
44,274,0,0,0,0,0,0,0
45,302,0,0,0,0,0,0,0
46,287,0,0,0,0,0,0,0
47,292,0,0,0,0,0,0,0
48,286,0,0,0,0,0,0,0
49,300,0,0,0,0,0,0,0
50,298,0,0,0,0,0,0,0
51,281,0,0,0,0,0,0,0
52,312,0,0,0,0,0,0,0
53,311,0,0,0,0,0,0,0
54,311,0,0,0,0,0,0,0
55,336,0,0,0,0,0,0,0
56,304,0,0,0,0,0,0,0
57,303,0,0,0,0,0,0,0
58,308,0,0,0,0,0,0,0
59,306,0,0,0,0,0,0,0
60,259,0,0,0,0,0,0,0
61,287,0,0,0,0,0,0,0
62,296,0,0,0,0,0,0,0
63,304,0,0,0,0,0,0,0
64,303,0,0,0,0,0,0,0
65,277,0,0,0,0,0,0,0
66,298,0,0,0,0,0,0,0
67,305,0,0,0,0,0,0,0
68,304,0,0,0,0,0,0,0
69,280,0,0,0,0,0,0,0
70,325,0,0,0,0,0,0,0
71,290,0,0,0,0,0,0,0
72,300,0,0,0,0,0,0,0
73,287,0,0,0,0,0,0,0
74,306,0,0,0,0,0,0,0
75,282,0,0,0,0,0,0,0
76,300,0,0,0,0,0,0,0
77,308,0,0,0,0,0,0,0
78,304,0,0,0,0,0,0,0
79,313,0,0,0,0,0,0,0
80,293,0,0,0,0,0,0,0
81,308,0,0,0,0,0,0,0
82,330,0,0,0,0,0,0,0
83,295,0,0,0,0,0,0,0
84,278,0,0,0,0,0,0,0
85,256,0,0,0,0,0,0,0
86,276,0,0,0,0,0,0,0
87,308,0,0,0,0,0,0,0
88,303,0,0,0,0,0,0,0
89,292,0,0,0,0,0,0,0
90,302,0,0,0,0,0,0,0
91,293,0,0,0,0,0,0,0
92,315,0,0,0,0,0,0,0
93,277,0,0,0,0,0,0,0
94,301,0,0,0,0,0,0,0
95,296,0,0,0,0,0,0,0
96,304,0,0,0,0,0,0,0
97,288,0,0,0,0,0,0,0
98,296,0,0,0,0,0,0,0
99,253,0,0,0,0,0,0,0
